ProductID,Name,CategoryID,Price,ImageURL
24363,Earldom 4K Ultra PJ04 WiFi 6 Projector,213,75,https://akmobilestore.com/wp-content/uploads/2025/08/Earldom-4K-Ultra-PJ04-WiFi-6-Projector.jpg
24361,2.7K Digital Camera 48MP,213,35,https://akmobilestore.com/wp-content/uploads/2025/08/2.7K-Digital-Camera-48MP.jpg
24359,Earldom 4K Ultra HD Multi-intelligent PJ05 WiFi 6 Projector,213,85,https://akmobilestore.com/wp-content/uploads/2025/08/Earldom-4K-Ultra-HD-Multi-intelligent-PJ05-WiFi-6-Projector.jpg
24357,Earldom HC07 Electric Hair Clipper LED Display Rechargeable,569,18.50,https://akmobilestore.com/wp-content/uploads/2025/08/Earldom-HC07-Electric-Hair-Clipper-LED-Display-Rechargeable.jpg
24355,All in one Earldom HC02 Electric Shaver / Hair Clipper /Trimmer Rechargeable,569,17,https://akmobilestore.com/wp-content/uploads/2025/08/All-in-one-Earldom-HC02.jpg
24353,Earldom HC03 Electric Hair Clipper Machine LED Display Rechargeable,569,18.50,https://akmobilestore.com/wp-content/uploads/2025/08/Earldom-HC03-Electric-Hair-Clipper-Machine-LED-Display-Rechargeable.jpg
24350,Earldom HC08 Electric Hair Trimmer LED Display Rechargeable,569,13,https://akmobilestore.com/wp-content/uploads/2025/08/Earldom-HC08-Electric-Hair-Trimmer-LED-Display-Rechargeable.jpg
24347,Earldom BH65 BT Wireless earbuds,200,13,https://akmobilestore.com/wp-content/uploads/2025/08/Earldom-BH65-BT-Wireless-earbuds.jpeg
24344,Earldom HC05 Electric Hair Clipper Rechargeable,569,13,https://akmobilestore.com/wp-content/uploads/2025/08/Earldom-HC05-Electric-Hair-Clipper-Rechargeable.jpeg
24341,Earldom HC04 Electric Hair Clipper Rechargeable,569,13,https://akmobilestore.com/wp-content/uploads/2025/08/Earldom-HC04-Electric-Hair-Clipper-Rechargeable-2.jpeg
24338,Earldom ET-TP03 Android 4g/32gb Android Tablet 7” WiFi Orange With Case,213,55,https://akmobilestore.com/wp-content/uploads/2025/08/Earldom-ET-TP03.jpeg
24336,Earldom ET-TP02 Android 4g/32gb Android Tablet 7” WiFi Black With Case,213,55,https://akmobilestore.com/wp-content/uploads/2025/08/Earldom-ET-TP02.jpeg
24334,Earldom ET-TP01 Android 4g/32gb Android Tablet 7” WiFi Blue With Case,213,55,https://akmobilestore.com/wp-content/uploads/2025/08/Earldom-ET-TP01.jpeg
